"RegionName","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07"
"New York","NY","New York-Newark-Jersey City","Queens County",1,,,,,,,,,,,,,,,2900,2900,2650,2695,2795,2690,2695,2780.5,2790,2750,2800,2800,2875,2950,2990,2995,3000,3100,3100,3100,3095,3000,3100,3000,3000,3195,3200,3150,3195,3200,3200,3100,3100,3050,3098,3100,3107.5,3199,3200,2695,2625,2650,2650,2600,2595,2585,2600,2600,2650,2700,2650,2600,2600,2600,2575,2500,2500,2500,2500,2500,2599,2600,2600,2600,2600,2650,2700,2645,2500,2500,2500,2525,2600,2600,2650,2650,2695,2600,2550,2500,2500,2500,2500,2500,2599,2650,2658,2650,2650,2600,2500,2500,2475,2495,2500,2500,2595,2600,2681,2695
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",2,1850,1850,2000,2100,2250,2350,2550,2400,2372.5,2200,2200,2100,2100,2000,2100,2200,2200,2195,2000,1950,1895,1895,1850,1895,1950,1995,1995,1995,1975,1955,1995,2000,1995,1927,1880,1937,1980,2000,2000,2100,2095,2071,2000,2100,2100,1949,2198,2175,2100,2118,2195,2250,2295,2348,2395,2395,2400,2425.5,2475,2495,2499,2495,2500,2525,2595,2595,2600,2600,2595,2569.5,2505,2650,2687,2695,2695,2650,2700,2600,2650,2769,2625,2639,2599.5,2600,2790.5,2809,2798,2800,2800,2839,2849.5,2825,2800,2795,2795,2800,2800,2802,2850,2800,2880,2950,2995,2924,2950,2959,2955.5,2960,2989,2982,3000,2995,3000,3000
"Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1465,1343,1515,1325,1275,1325,1425,1411,1425,1450,1500,1515,1444,1442,1412,1424.5,1445,1500,1500,1515,1539,1504,1500,1549,1715,1700,1726,1648,1675,1625,1594,1592,1550,1482.5,1511,1447,1436,1400,1500,1550,1500,1540,1550,1525,1524,1541,1558,1565,1578,1580,1535,1600,1599,1621,1619,1600,1589,1600,1570,1551,1540,1522,1516,1517.5,1530,1525,1520,1510,1526.5
"Chicago","IL","Chicago-Naperville-Elgin","Cook County",4,,1500,1500,1475,1595,1500,1500,1556,1650,1625,1695,1550,1600,1600,1700,1700,1800,1795,1735,1750,1740,1700,1700,1700,1650,1599,1530,1595,1700,1695,1750,1775,1832,1700,1793,1700,1875,1650,1700,1800,1850,1900,1998.5,1950,1800,1904,2000,1800,1683,1695,1680,1707.5,1785,1895,1750,1975,1953,1850,1650,1700,1900,1650,1750,1750,1750,1750,1750,1855,1900,2008,1875,1800,2000,1795,1750,1795,1795,1750,1740,1750,1700,1675,1700,1700,1700,1700,1700,1750,1725,1700,1700,1700,1700,1725,1750,1730,1775,1800,1800,1825,1850,1850,1850,1900,1850,1850,1850,1900,1950,1950,1895,1850,1850,1865
"San Antonio","TX","San Antonio-New Braunfels","Bexar County",5,,,,,,,,,,,,850,805,805,800,845,845,841,850,825,825,850,859,880,927,931,880,860,875,887,900,896,895,903.5,869,910,899,926,926,927,925,926,939,950,950,955,979,998,990,989,999,975,994,960,985.5,975,950,950,950,950,981,975,970,975,985,988,992,994.5,995,1045,1065,1014,1020.5,1050,1038.5,1000,1029,1006,1025,1065,980,1020,979,1050,1053,1066.5,1095.5,1150,1127,1109,1100,1105,1099,1075,1080,1100,1180,1170,1150,1179,1187,1200,1210,1190,1182,1200,1190,1200,1216,1225,1229.5,1264,1268,1256
"Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",6,,1650,1550,1595,1775,1850,1850,1612.5,1550,1625,1472.5,1350,1400,1400,1300,1300,1250,1300,1300,1300,1250,1200,1275,1350,1400,1450,1495,1495,1400,1390,1250,1250,1216,1200,1200,1250,1275,1330,1350,1395,1315,1300,1280,1375,1350,1375,1395,1295,1225,1200,1250,1350,1375,1350,1320,1300,1345,1300,1295,1275,1300,1350,1352,1390,1392.5,1350,1365,1350,1320,1325,1325,1395,1400,1425,1447.5,1500,1477.5,1477.5,1450,1450,1495,1450,1475,1400,1490,1550,1555,1575,1550,1550,1600,1600,1550,1545,1500,1500,1520,1595,1600,1695,1650,1695,1687,1650,1600,1650,1600,1600,1625,1650,1690,1695,1700,1700
"Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",7,,,,,,,,,799.5,800,825,745,750,788,799,770.5,795,799,800,810,795,759.5,750,740,750,799,775,775,780,780,798,805,795,798,789,788,788,795,795,795,788,788,780,788,788,749,770,788,788,788,799,798.5,802,799,800,800,810,810.5,846,855,885,880,885,850,875,875,895,880,885,914.5,977,949,940,1020,1015,1000,1036.5,985,973,962.5,954,914,934.5,975,1071,1179,1229,1135,1128,1140,1100,1095,1088,1050,1049,1066,1116,1135,1146,1137,1150,1150,1175.5,1142,1180,1194.5,1165,1195,1206,1230,1250,1300,1321,1315
"Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",8,,,,,,995,1062.5,985,900,875,799.5,850,850,850,899,899,892.5,895,895,875,850,800,800,800,825,800,799,799.5,800,800,795,799,800,825,800,800,800,809.5,825,800,800,825,825,825,800,810,845,850,850,850,850,875,875,850,865,850,895,891,875,850,875,895,900,910,900,920,909,895,899,925,950,925,947,975,980,950,983.5,991,955,987.5,995,995,980,997,1009.5,1050,1050,1049,1045,1050,1050,1043,1040,1044,1026,1050,1095,1134,1150,1150,1158,1180,1200,1190,1195,1185,1175,1183.5,1195,1220,1250,1250,1254,1250
"San Diego","CA","San Diego-Carlsbad","San Diego County",9,,,,,,,,,2200,2077.5,2150,1795,1847.5,1850,1847.5,1850,1800,1796,1800,1875,1800,1702.5,1750,1750,1750,1753,1695,1655,1745,1744,1700,1740,1700,1737.5,1720.5,1720,1720,1728,1745,1740,1775,1755,1779,1950,1895,1800,1950,1980,1912,1930,1950,2010.5,2050,2050,2060,2055,2130,2145,2100,2095,2100,2115,2127.5,2120.5,2150,2160,2242.5,2250,2215,2250,2217.5,2210,2249.5,2240,2240,2200,2172.5,2219,2205,2309,2199.5,2166,2195,2195,2205,2280,2282,2345,2390,2391,2395,2395,2300,2270,2276.5,2250,2295,2350,2400,2450,2455,2495,2500,2500,2500,2500,2499,2495,2495,2455,2470,2550,2550,2555
"Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",10,,,,,,,,,,,,,,,,,,,1195,1195,1200,1195,1371,1233,1100,1242,1100,1272,1350,1344.5,1300,1350,1350,1380,1425,1499,1430,1473.5,1457,1460,1517,1509.5,1418.5,1563,1562,1596,1600,1600,1570,1570,1600,1528,1580,1545,1510,1510,1531,1595,1600,1588,1522,1485,1546,1550,1523,1550,1578,1601,1592,1580,1609,1667,1711,1700,1650,1690.5,1665.5,1643,1595,1695,1699,1607,1599.5,1705,1700,1765,1800,1775,1802,1820.5,1845,1795,1753,1785.5,1799.5,1780,1850,1800,1810,1850,1848.5,1850,1883,1826.5,1865,1845,1825,1810,1825,1830,1850,1850,1810,1819
